generation,feasible,best_energy,best_cost,best_risk
0,0,0.00802632010098428,0.004017596202685779,0.14028647879547243
1,0,0.00802632010098428,0.004017596202685779,0.13469504715558328
2,0,0.008015573863795306,0.004017596202685779,0.11859735349716446
3,0,0.008015573863795306,0.00538474513406151,0.11859735349716446
4,0,0.008015573863795306,0.005477635866746643,0.11859735349716446
5,0,0.008015573863795306,0.005869052899825,0.11859735349716446
6,0,0.008028052163477477,0.005869052899825,0.11859735349716446
7,0,0.008028052163477477,0.005869052899825,0.11223692602040818
8,0,0.008072300327515932,0.005900884673612023,0.11223692602040818
9,0,0.008008684481985058,0.005900884673612023,0.11223692602040818
10,0,0.008008684481985058,0.005900884673612023,0.10233749917344444
11,1,0.008008684481985058,0.005900884673612023,0.08952601249898547
12,1,0.007974739620033297,0.006397440984739189,0.08952601249898547
13,2,0.008064583377744933,0.006409417140103048,0.08952601249898547
14,2,0.008064583377744933,0.006409417140103048,0.08952601249898547
15,3,0.008064583377744933,0.006409417140103048,0.08952601249898547
16,4,0.007918986479882947,0.006409417140103048,0.08952601249898547
17,6,0.007914785479315062,0.006796751217528893,0.08952601249898547
18,10,0.007914785479315062,0.006796751217528893,0.08952601249898547
19,12,0.007914785479315062,0.006796751217528893,0.08952601249898547
20,13,0.007914785479315062,0.006796751217528893,0.08952601249898547
21,15,0.007914785479315062,0.006796751217528893,0.08952601249898547
22,19,0.007914785479315062,0.006796751217528893,0.08952601249898547
23,24,0.007914785479315062,0.006862385400395932,0.08952601249898547
24,33,0.007914785479315062,0.006862385400395932,0.08952601249898547
25,42,0.007914785479315062,0.006861536071010434,0.08952601249898547
26,46,0.007914785479315062,0.006861536071010434,0.08952601249898547
27,64,0.007914785479315062,0.006861536071010434,0.08952601249898547
28,82,0.007914785479315062,0.006861536071010434,0.10102646502835538
29,101,0.007914785479315062,0.006861536071010434,0.10102646502835538
30,119,0.007914785479315062,0.006862385400395932,0.10102646502835538
31,120,0.007839478414393456,0.006862385400395932,0.10102646502835538
32,120,0.007839478414393456,0.006862385400395932,0.10102646502835538
33,120,0.007839478414393456,0.006862385400395932,0.10102646502835538
34,120,0.007839478414393456,0.006862385400395932,0.10102646502835538
35,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
36,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
37,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
38,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
39,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
40,120,0.007861204907500032,0.006862385400395932,0.10102646502835538
41,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
42,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
43,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
44,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
45,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
46,120,0.007984258271088712,0.006862385400395932,0.10102646502835538
47,120,0.00807697179480123,0.006862385400395932,0.09774635850178359
48,120,0.00807697179480123,0.006862385400395932,0.09774635850178359
49,120,0.00807697179480123,0.006789394298550868,0.09774635850178359
50,120,0.008116019722593163,0.006789394298550868,0.09774635850178359
51,120,0.008116019722593163,0.006789394298550868,0.09774635850178359
52,120,0.008116019722593163,0.006789394298550868,0.09774635850178359
53,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
54,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
55,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
56,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
57,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
58,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
59,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
60,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
61,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
62,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
63,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
64,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
65,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
66,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
67,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
68,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
69,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
70,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
71,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
72,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
73,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
74,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
75,120,0.008116019722593163,0.006715779947804215,0.09774635850178359
